,IRF4,BATF_1,BATF_2,BATF_3,BCL3_1,BCL3_2,BCL3_3,CREBBP_1,CREBBP_2,CREBBP_3,DIP2B_1,DIP2B_2,DIP2B_3,E2F6_1,E2F6_2,E2F6_3,EP300_1,EP300_2,EP300_3,ESRRA_1,ESRRA_2,ESRRA_3,GTF2B_1,GTF2B_2,GTF2B_3,HCST_1,HCST_2,HCST_3,IKZF3_1,IKZF3_2,IKZF3_3,IRF3_1,IRF3_2,IRF3_3,IRF5_1,IRF5_2,IRF5_3,IRF7_1,IRF7_3,IRF8_1,IRF8_2,IRF8_3,IRF9_1,IRF9_2,IRF9_3,JUND_1,JUND_2,JUND_3,KLF13_1,KLF13_2,KLF13_3,NFE2L1_1,NFE2L1_2,NFE2L1_3,NFKB2_1,NFKB2_2,NFKB2_3,NFYC_1,NFYC_2,NFYC_3,NR3C1_1,NR3C1_2,NR3C1_3,PAX5_1,PAX5_2,PAX5_3,POU2F1_1,POU2F1_2,POU2F1_3,RAD21_1,RAD21_2,RAD21_3,RDBP_1,RDBP_2,RDBP_3,RELA_1,RELA_2,RELA_3,RELB_1,RELB_2,RELB_3,RXRA_1,RXRA_2,RXRA_3,SP1_1,SP1_2,SP1_3,SP3_1,SP3_2,SREBF2_1,SREBF2_2,SREBF2_3,STAT2_1,STAT2_2,STAT2_3,STAT6_1,STAT6_2,STAT6_3,TAF1_1,TAF1_2,TAF1_3,TCF12_1,TCF12_2,TCF12_3,USF1_1,USF1_2,USF1_3,WHSC1_1,WHSC1_2,WHSC1_3,YY1_1,YY1_2,YY1_3,ZBTB38_1,ZBTB38_2,ZBTB38_3,ZHX2_1,ZHX2_2,ZHX2_3
FEV_motif2,0.07457185374437127,0.024822355586270894,0.02752160914178787,0.02051642972932007,0.010638926064555623,0.0009232614671923356,0.001489792161018771,0.05963062111830552,0.022435072327839874,0.054529878094716135,0.014974613699631024,0.044018790851272645,0.017599185276350824,0.03268887380386374,0.03405001106898549,0.025435263653831478,0.02051603400976846,0.04704381616699515,0.0002517629427496116,0.018809052915073572,0.02040309465127017,-0.009498013067123801,0.027495344265206625,0.05222186127295459,0.02532348630888366,0.04250460030787182,0.018697934335181576,-0.005241142292998661,0.04633709662589897,0.04196403317728937,0.03194147412984668,0.01611771813162402,0.023444554839805988,0.02564379065942024,0.03612175974235276,0.0008549248371414078,0.009828972808460108,0.007940421767942496,0.009911913283133381,0.006366373446248977,0.00010123171436254676,0.015610694447997517,0.0135984229734139,0.028640284167556523,0.02790336735305991,0.016659430872346084,0.03185195766020653,0.017819461117994668,0.020438309391835986,0.024305727185970318,0.02153155261014947,0.017679378495545864,0.041459011545241925,0.04467696499714069,0.016279578044601974,0.030291028664263385,0.013995916946165778,0.010104312557041754,0.016321371204986713,0.0156916170789881,0.03315838088989928,0.009988893104704837,-0.002712019800395547,0.04993850389233079,0.042555293795978,0.04819847770871671,0.020285891078384292,0.009547986761334972,0.02239847030700664,0.06803442608996094,0.061214711954539563,0.05493059844518193,0.007672524521959693,0.006547217872265571,0.018638256057070667,0.033699721364890745,0.02897683569920766,0.04907859210244359,0.0358841582106125,0.020249900548180527,0.03214794545183476,0.02911197419098264,-0.00290437656807402,-0.004772481602586967,-0.004694227042410481,0.00969526273792961,0.009608259984026134,0.022249348854993325,0.007307581457356383,0.017244840384189827,0.021544614126612113,0.03251748815510677,0.030332716211134432,0.024973280618780225,0.032339282681302865,0.04906347461710356,0.01039704619723059,0.021279552673772417,0.010394909250521167,0.01108366330736637,0.021121158893206853,0.043279773401716515,0.029097926554438606,0.01711827716770131,0.023266646013027446,0.032633201197932844,0.02481872717216391,0.012723002094770454,1.2946967674825636e-05,0.017573686469622457,0.007991688682614174,-0.0017437444496964968,0.013424344455145908,0.011625687631387282,0.03399401404230377,0.03604116010572946,0.03229942004955043,0.001026455447221248,0.02757960332959075
ETV5_motif2,0.0709863213321927,0.012385725084066998,0.014444890996422977,0.0060873621252693945,0.015237752183671264,0.0022487982976353467,0.003217510712632158,0.05596864202597403,0.020981392744514795,0.04683914053963973,0.013430749019186543,0.03652566905852956,0.01617598064255026,0.03401230708534939,0.028913831461433868,0.02538510243093681,0.01931203907741299,0.04431377479490961,-0.008921224311824974,0.01535957059639914,0.014500821451746554,-0.019146418748718606,0.019475569468924488,0.035289194476072476,0.017804558547902364,0.02305274215274848,0.016980747201260197,-0.010204730489021555,0.034966442186457954,0.03991809882669254,0.02854585346016645,0.005735636154820618,0.007999963052101532,0.028928467644209064,0.0418855957751182,0.007475214127968314,0.002165865342041093,0.0026292510826790476,0.0035440060772144763,-0.000985208652868298,0.010714771361025376,0.005648869874933436,0.022070727671891156,0.01830528992387391,0.018181346403420107,0.006109831761998597,0.024613582590649843,0.0031879910733042744,0.018252481312726672,0.022458292507218123,0.0066697815907771595,0.021319208785563194,0.04498543645687707,0.038961006995492424,0.006749236636106253,0.025736141210543233,0.017310980465075697,0.005748232364591135,0.010429816259023726,0.0027052751661388033,0.01796119410696892,0.006143225948104107,0.00445811824143607,0.03710346832506855,0.045198487665821435,0.04094056077693624,0.03023117626547438,0.014813190382281951,0.01418585389489922,0.05548815237750535,0.07066665408605881,0.05217005626527573,0.01767430833369662,0.013180448842959698,0.019410023130381298,0.018230699661539236,0.011630288574178086,0.025744801090751338,0.03314737206163186,0.009136988970957362,0.030003191146753337,0.03757063379873163,-0.015445177307964797,-0.019360754538314536,-0.011484242099452919,0.007363042163821913,0.0031472358922315603,0.01548085195534214,0.005066649104654702,0.018697083130607455,0.020202170657183854,0.03733201281028863,0.018410235543660575,0.02476381798708787,0.021557416163529432,0.038177002121844494,0.011926435876241443,0.01340378099664405,0.003910252489601523,0.016166969851611035,0.026772107569342993,0.030481938691857165,0.024197748748717964,0.013228389044022907,0.004713009273884299,0.02337055946092084,0.010999890334120438,-0.006064334426163265,0.009612584636322584,0.025504738884365687,0.013563810553868991,-0.005360497035675684,0.0024859485623730344,0.022108464278956814,0.03408599658646991,0.03236948327613929,0.020328042281417914,0.006772176001316595,0.02393416458094792
REL_motif1,0.06901940640938765,0.02762657758371139,0.040784380458369296,0.015368023345338341,0.01258412639657715,0.0259568813196569,0.003793902016342201,0.06159531232952725,0.019138330990953887,0.03697730235639973,0.03184931754651008,0.04929502883275266,0.034255358645256154,0.025792679957321738,0.034012157233568624,0.012242550591873383,0.021635221718540123,0.03245684617151316,0.0062576130044017676,0.01609145117659817,0.014912740135723341,0.010655032645005601,0.015719208736797177,0.027629123984008356,0.016288817403317224,0.01931172201272591,0.0315287241495348,0.019993966707093098,0.03262303041075704,0.04108070338900193,0.03501552365737939,0.021227541777816036,0.03318279187539888,0.0003575974440131259,0.03817209784840255,-0.0028964812905814177,0.011086196462673196,0.02045180320439994,0.006274049242467912,0.024579185840298255,-0.0037043873194930357,0.014773738610123696,0.006742676310981556,0.03391654081428418,0.030099631750832013,0.026997869180249812,0.02602456305626451,0.03051840502286062,0.021163563299698165,0.017249985308914192,0.03019142815194439,0.027418535894938322,0.023111367454143154,0.029364128360175674,0.02735547684328226,0.03400487896884753,0.03052820980001656,6.351349745627602e-06,0.02953885902100441,-0.007321098479218443,0.0032542548012673396,0.013685662119826036,-0.01631056651258273,0.027705229860376473,0.03966801262837566,0.037150139065145873,0.0354697957852008,0.021190349132307034,-0.0052113470152374795,0.04774897532599121,0.0491278458804983,0.04075853341028474,0.019574356331310636,0.01348047493019753,0.010122155555699279,0.04192929470619213,0.025371979131689384,0.027602328472368237,0.03038922506498903,0.030513940809121898,0.042602345380464174,0.019446425111109583,-0.01676574270267739,0.017754164315065747,-0.005374139558913562,0.014756176486764801,0.020673942636533594,0.034843206539408034,0.02765167086959545,0.018618661703932095,0.031089437892605216,0.04191415981897274,0.02126072970885969,0.0209988242926478,0.02246674898513147,0.043703875805717,0.006655703572263432,0.025750294012308994,0.016146134504026934,0.011076315903796744,0.028588602705070323,0.02645085153569938,0.01346977678864501,0.025734288440191523,0.03710086185364706,0.005678598173798318,0.03226946161388761,-0.004018299006103201,-0.035745756764573894,0.008318905695390122,0.025562418289695178,0.015811656974816686,0.04121491868458715,0.014426060777331032,0.021119255812269512,0.031023789812160838,0.057209746995853836,0.011289243180387213,0.0417460505324848
ETS2_motif2,0.06844915487179995,0.025665557578103262,0.01969044047838358,0.015632183120003026,0.011460208025618934,0.004457707748626224,0.0027165348137656925,0.03995354021960504,0.017745556905395508,0.04693264933458522,0.01749626395972665,0.03634248249034089,0.0033894599866619154,0.03342096037422483,0.030706806653090685,0.02057085422926456,0.03861853935466016,0.04888484937899672,0.011470943844074181,0.017972840997353728,0.021387234341737966,-0.007136358599716707,0.01437993157395832,0.03864936142481092,0.01323176360261115,0.03389261889495133,0.017039530994244583,-0.003955559994162766,0.03472876526015843,0.037441625679324436,0.0255959809928291,0.008421880318005386,0.01250050500714916,0.036730269433964076,0.042960026053957656,0.0011018891301512216,0.010775528698294661,0.011177731978233607,0.002688303830470942,0.01384136826774591,0.010639844472172033,0.0070447689834657965,0.011521880347184097,0.01566602845084966,0.023104782472959884,0.014212088043103336,0.02849666022190513,0.002327644399448459,0.012710839464846442,0.016835469914054813,0.013495346445882178,0.022176297395613286,0.03954883850661035,0.04476781283281296,0.014042973013571677,0.03025093772963472,0.01768337450907154,0.016221091020904386,0.00335926424152958,0.011522785591317999,0.021299162594868627,0.016840910670728213,0.007379073838758416,0.04473525071736505,0.04159173089050985,0.04454360997385362,0.014312299434744562,0.005799933694562545,0.025905734730626427,0.06676484314828561,0.06286518849490742,0.05825751653592208,0.009757979416778974,0.009678329384818092,0.02477451290908895,0.021370588140012713,0.021622403502357924,0.039265564091973106,0.04307186620053565,0.02130475122676273,0.02444511153253887,0.02854192206181575,-0.0039668845014875324,-0.0042852427961879895,-0.0009126496829755354,0.019887618891142423,0.00820375635934446,0.013608579068839109,0.010997468599746065,0.015279371732800608,0.011042913770697148,0.028119884409139966,0.029082647133811413,0.023412322259712792,0.023399385979726166,0.03404538165965434,0.01712462665295986,0.01883342161848926,0.003326185877119766,0.00787823596867491,0.014293933585006977,0.038685431710232254,0.018376618902851413,0.016877508656933684,0.020898228837046288,0.03742714173242823,0.00892229795072584,0.009406923357554643,0.005222717492866491,0.0203060955568995,0.007548305933626012,-0.006975397512146661,0.0012218684454325937,0.01937356625426311,0.03781916128585484,0.0305971928059633,0.016933149760164936,0.0127256777661712,0.026052862261446944
RELB_motif1,0.06604571160466642,0.021662729647634597,0.04158892674270472,0.017404720150764726,0.016580027543609266,0.025436584729525098,0.0032067647668536786,0.060497942787362,0.02080438280427488,0.05746158143098486,0.028814627463365893,0.05422782796921561,0.028572304744701252,0.029175932312569514,0.03390375049408891,0.017589311584492336,0.029369828413002227,0.03420248183259814,0.00499949940911262,0.010212810197907651,0.02004487472328576,0.010878724328853116,0.02153372802846103,0.03493527603184022,0.01202177408960219,0.023203655101751423,0.01931325433582383,0.02574468630762908,0.04514192874590409,0.03585180031253566,0.033376003861902336,0.023819846908021695,0.02933684883584196,0.004970918982224122,0.03621194453381855,-0.002230779874177625,0.011467106036861513,0.02099707954028492,0.007328036469954344,0.019382333704168073,-0.0006607641425594836,0.009954098719372294,0.00896885313335841,0.034969549318506786,0.03347991512946658,0.026475406504430272,0.02166703964893426,0.030326409313613405,0.019077607499728644,0.02476401456311848,0.035022857551059064,0.0271330499133549,0.025853638149772293,0.02961012155088522,0.025548222227753926,0.03735702599454769,0.03597762052583106,-0.0017291505693821198,0.024349218211452833,-0.004015929884905052,0.011181327687403394,0.01632850363217789,-0.010256879703428824,0.031272332989503146,0.044041567955165305,0.035113646660482736,0.03610720382421782,0.02646459386503221,0.0021340668512171016,0.04773748382990613,0.0536467157638579,0.039435404702441626,0.022822933423030944,0.01604641393096654,0.009913006483865842,0.04123507071294139,0.031466517300921336,0.032970640632969256,0.0315125701112663,0.031673565269026364,0.04039409716013497,0.017291326978150372,-0.01659673287912127,0.014432703730817302,-0.002020919852027209,0.021957779082653582,0.017457501884770427,0.041370887083311825,0.032809047902007824,0.012436579753514749,0.029781066895416073,0.04516961851852476,0.027904946257769313,0.021861460841906905,0.021756912734839744,0.05308213750383976,0.017309475080250034,0.02798150871951296,0.012096937106064395,0.00773224489876235,0.01934590665984306,0.03722806973437113,0.015328804094076246,0.02986086531202035,0.036853172163092564,0.007183082421639138,0.030459800791188738,-0.008011872865729104,-0.02715082799118382,0.017898553739639677,0.028292037554133367,0.011873717555173155,0.03703902977712388,0.01572136559174563,0.0312901742561235,0.023364038463228407,0.05452094983025394,0.009049036327114757,0.041347501993617856
NFKB1_motif1,0.06547479918282448,0.01994863136767565,0.03623547105963031,0.012874164212603316,0.013169871617978715,0.014092225079966129,0.002769876423693128,0.04643364019449332,0.013559656558176286,0.0394668412178735,0.018739879181268796,0.04961849722804186,0.015830519796961293,0.016888050935517603,0.03020682453602299,0.011792345878262962,0.033357760701527274,0.030832173602446535,0.008428938287975059,0.006006709141901184,0.012638382827785205,0.012711485473957913,0.017994164534897536,0.03251018928933178,-0.004880847669758489,0.025448756019634967,0.03239582340464144,0.002693419473578641,0.03755398676155315,0.03567013803894319,0.018199489248277526,0.01021855546709286,0.013906242025689715,-0.00192402535232484,0.02711496872902081,-0.012955831191662943,0.0040280609509987094,0.018522554160413204,0.005598634867255228,0.021090964615211885,-0.007334876549647738,0.013499601816691737,0.008567061996758852,0.032957986675041726,0.018187674778202066,0.012138247007701143,0.030253107442412063,0.023994850354516626,0.023305076087023095,0.0052680954607752855,0.018848042335191353,0.012829321505311499,0.01613880721246542,0.026827473380548385,0.020845774784096684,0.025591760894447136,0.016751541016709552,0.0013119411639048726,0.025680625017757464,-0.010563882558658309,0.007428444233857098,0.0023231780665113103,-0.014359205752254234,0.027937057146968473,0.035457721468795673,0.027577767064534447,0.025000909199546437,0.012901800536594532,0.0019690567905377193,0.03567089732328573,0.04174811546720167,0.028150723330993572,0.009597656982256642,0.02596492410558586,0.0060558406585084395,0.034050693226731585,0.024067748518418454,0.024449552292456586,0.0280189503097059,0.02113288578333212,0.02968416793317087,0.0059089085829886,-0.007514765380190986,0.0082151591139956,-0.009785336740147086,0.015454397145602268,0.014261730205022815,0.01433982906524596,0.026921857017281187,0.017808441225066248,0.02021884899329288,0.022239974886424423,0.011152856643756558,0.029047356407756,0.021884044915350925,0.04497930700147012,0.013550604137214204,0.016248952611612542,0.008325724644230013,-0.0009022015457061599,0.011689349268964064,0.023647051421760254,0.01258341430515333,0.016080031916651624,0.03153421120254297,-0.008100427382300645,0.03742646949823628,0.0025279836374084803,-0.017912113736400517,0.016412464704660738,0.001058160835952999,-0.0030906704517036925,0.019456031682082278,0.017038535724931542,0.010905682896510338,0.03229762376398744,0.039362544785995934,0.011527747898193674,0.0313762568703734
STAT3_motif1,0.06458917911159558,0.020972873852132517,0.02039021671037089,0.019272194927516015,0.00946950648614957,-0.0008425540571030979,0.003385823605183939,0.023653676830728814,0.02074689398416507,0.041647659756434606,0.009990051144758268,0.029009696825402245,0.002567701246707329,0.03249408533750293,0.040403301164915,0.022186516414930125,0.03831155991249787,0.04343265653281454,0.013436027820195878,0.025524983097851325,0.027633099498364688,0.0022515019872844694,0.014027975976134303,0.04067661679372632,0.007369745025417441,0.035238807273269085,0.017045940591381474,-0.00650531991344345,0.03269077081248252,0.029427925972858936,0.017078042779640954,0.006301383193522653,0.006752396340577493,0.03319897003992635,0.04269766531573852,0.0041604249026157706,0.014206717627516036,0.004169488632761745,0.0011460987676680928,0.013804343385319731,0.011663911470697976,0.015682160054142556,0.012200718124433284,0.016068977281095215,0.021017254003614778,0.01165933398172818,0.029702584765932048,-0.0021587861189564686,0.014463462326899927,0.014362463979075217,0.015713569977709615,0.023639423896837587,0.033156924470783326,0.03562842043613298,0.01365203419020989,0.021889222320866503,0.01570025146768441,0.019285986996881048,0.009001760657772308,0.02769411060964508,0.023645449552275634,0.024233291618631855,0.01255441009971103,0.04472270465516489,0.035899475124750245,0.04999983665310255,0.008314543468075485,0.0018927926671027835,0.030270356678350003,0.06764171070588303,0.051240112282830416,0.05782329249384767,0.005467699316505746,0.008641887795772057,0.027401291529081377,0.02964247209289831,0.02815658454478479,0.03545236470573667,0.03465590183888458,0.022564174996099768,0.024451134722371055,0.030284196551940985,0.004416632731606956,-0.002743514716045496,0.006319315891328797,0.018380990951835662,0.004172029999962456,0.008626281774064883,0.007234989802903332,0.015810145619557008,0.017227476854175427,0.02763619695138226,0.02444237305950794,0.017827361510091157,0.01740187113300839,0.016557754156880142,0.01657883337529811,0.012596618806378777,-0.007280048240519192,0.006372408026772691,0.00025420607287728996,0.04011650244179329,0.019836813044766026,0.0215980473103637,0.022283123865130764,0.040310583136634756,0.014807470624985447,0.013644881528749157,0.01864110322052838,0.01741057598505225,-0.002886786487597473,-0.012165743383088831,-0.00012806757228033512,0.01232596405533306,0.035393357989379745,0.030791625471135096,0.00520572158264769,0.010616999268653143,0.025522210289730566
SPI1_motif3,0.06156673807684185,0.0009744143323104408,-0.005310728822203876,-0.004418940599819927,-0.0015313768045048678,-0.011012583599103332,0.0019758633094637853,0.031010557211179384,0.017343166341295964,0.022198884647854945,-0.0009346836206598063,0.0264825676426847,0.0030470795386185984,0.02126020759134831,0.010857458620973957,0.01955625686889016,0.016294076927771673,0.026558871175059534,-0.020081462867444704,0.0027847784843627356,0.012872410086862797,-0.023398598310350904,0.006318828170037973,0.017724571807915177,0.006379246843097795,0.021092852698745005,0.004555684649299862,-0.009980758296659755,0.041759475858261265,0.02584639941625255,0.03066153268891986,-0.01254332059926519,-0.01377885442063788,0.020466260274154605,0.0248913485565256,0.009297042287656928,0.015836676333278846,0.0018152752211930314,0.01874480476895642,-0.0005504559115412494,-0.003208518322040776,-0.00037970661324140037,0.008122185538913262,0.002393790960191042,-0.0023887857599242147,0.006309851999465288,0.01597719310612758,-0.010686524748642259,0.006281208628308257,0.010465813574737826,0.0011253359007454284,0.02989436824968338,0.019230734338645278,0.03525829004245995,-0.003400958757303127,0.009590771156404991,0.018053327949676286,-0.010639586541271707,-0.0029699191572661525,0.007082232865995989,0.005018458410262557,-0.0004040881541090678,-0.000551617211899945,0.030444637722705708,0.03404321879351805,0.03851132837289042,0.01951673510205323,0.008880180125067373,0.00946576337042796,0.03573889502422739,0.06294040976894934,0.0376164679444778,0.0017805750586826641,0.003782904578766297,0.007487652803863779,0.016249388677441814,0.0003548710341116835,0.009830720739620625,0.010173793044818205,0.013838811842010251,0.020269938975273176,0.02441053057493977,-0.022336630201981747,-0.006558245875203339,0.00882573445351556,0.0025469597347841538,-0.0006059120535794076,0.005095154605652815,0.004409408913983802,0.00010328448406539434,0.013722938453295827,0.022316442086123586,0.009386952744811519,0.008551962932143572,0.0007444597243091751,0.020620498123221215,-0.008164886144137955,0.01171066783454234,-0.005599178299012278,-8.63064240179225e-05,0.014209846318333438,0.01928015846765012,-0.006505698373754062,-0.0015688053942305605,0.007795413231775538,0.016894771097107946,0.0068677781160116835,-5.763102036165619e-05,0.01760885892810436,0.004988991180341818,-0.006440486134992966,-0.02424640582977835,0.00426890019001369,0.015248405006980595,0.019980020425289007,0.014060136584988765,-0.008530657224394188,0.010012298958467962,0.0012411574506061317
UBP1_motif1,0.060698874137512064,0.01354893869177691,0.006876327920163261,0.025839504135515622,-0.00317795990870146,0.007604834593835105,-0.0013076153093708551,0.03369587345073175,0.012695672035705124,0.030466691568629013,0.017150830582209543,0.016116978796274325,0.01579643202166434,0.027161244483115212,0.02927155678073258,0.009962533618140167,0.025821186925457217,0.034157656690200947,0.009284640534718594,0.024604713235828427,0.026062956696348817,0.0018829648436640028,0.019962607705418908,0.0349039767141293,-0.0011242346103805276,0.03691268716104039,0.011401115807756417,0.0017422910463629124,0.033315431220926346,0.03535476465559792,0.011288034340702363,0.02395073375796127,0.02293590061638544,-0.003402839688541571,0.028124828580567605,0.006220397271856102,0.01276706864563998,-0.000497693474467338,0.007328204946228943,0.016663879008704467,0.008981061346425415,0.02022851031701713,0.024014765684708596,0.010301477398779933,0.006698104005257703,0.00992179826379885,0.01980287799439386,-0.0033534346526994407,0.019332631267354995,0.01431540485513313,0.012537217389315635,0.018388657233637175,0.019278785410464423,0.0285247717150119,0.016102083887899393,0.02622552633702927,0.024412093687545544,0.021653832437580064,0.013780837888476926,0.036470181760199206,0.015774661353630266,0.0031282927850697926,0.012831173358702356,0.0310881559609517,0.05569920055677909,0.047713487208828884,0.03255681436475849,0.01262221401625847,0.016005012414751826,0.054407764848507706,0.037570121686282036,0.05290935721875162,0.012311895797358221,0.02252876622661683,0.0199398242846848,0.020200863763818144,0.02226956796412841,0.038304630826470724,0.03086138047661491,0.028105378597821574,0.027807196457734336,0.02216550735420609,-0.007728052553728959,0.0016678741711376446,0.010624143942365974,0.0034986313084802226,0.006796367038472212,0.016922092964656296,0.019945605743258456,0.00441927029818991,0.01646982345896736,0.045327540105003325,0.03324384810115339,0.021483245685874612,0.030658729478452506,0.023834895193382465,0.01882365600575033,0.005644139375762145,-0.004810887876354179,0.006482188923791124,-0.0010674707599003408,0.020586458987603445,0.028822544279250156,0.0070382575425431745,0.01627440283979245,0.01604622477213041,0.0016801773609724175,0.004793346598572076,-0.0032837872780472057,0.02357841959144443,0.0037112984127104956,0.008206002770803175,0.00041007134407103243,0.001173256010177437,0.013121789960420795,0.02591354503641305,0.0014992366133121345,0.019652138799284666,0.036374342437919135
IRF4_motif2,0.05846110285453445,0.000566680576172567,-0.0026883226383569428,0.007393883530904467,0.010629550893749154,-0.013889224026902739,0.015377323590254427,0.0025136120080286773,0.025480708784028742,0.013410428392296246,0.009654848238380241,-0.00324449774682973,-0.0011729999131988248,-0.002867629565541007,0.013159583765466958,0.0029525899623415765,0.022813981582486303,0.022216637193418258,0.009885775456572956,0.0036753073730840333,0.010478302928003265,0.012060767034925037,-0.021950637669246015,0.015523009454840309,-0.002432749081378271,0.012580649464403572,-0.006674208107236252,-0.007181122020459846,0.013578542528488273,0.024033233255970465,0.005358405264571098,-0.028342074070351626,0.000406654849806312,0.009030044784042887,0.028120247321869848,0.005916716015631202,0.0216012288181264,-0.009087272372193289,-0.001204408614151407,0.024812079959903886,0.025420483019156108,-0.003974165537468097,0.010565012274809743,-0.009221225478104429,0.0033594975367482413,-0.02293407547712085,0.004541557461307346,-0.022615925964218842,-0.015854864027710573,0.017805638503644684,0.009258977877273719,0.016859094045255464,0.007728137525434944,0.004907714683968472,0.002498596631374183,0.0005028725101355448,0.010260803623454318,0.010422612492277957,-0.007902091031372908,0.023697507417004746,0.019492372348694657,0.004072485198109688,0.006297030910139075,0.031822173039568184,0.014270982156667153,0.04325724151353365,-0.009661861134629617,-0.004728499167593291,0.003821902822085201,0.0538013758224564,0.042743489823207255,0.04348616610959389,-0.0004725443354787032,0.011557897143222157,0.007020974745837909,0.014163071431879786,0.0030456479589533853,-0.0005841186652930137,0.018139888035632327,0.019605560611123066,0.010267942632386751,0.02798853691882018,-0.0068283471690533115,0.02114941045717859,0.015643306160839286,0.00487750506216185,-0.017032091181397587,-0.005179001811974264,-0.002733989000643388,0.021299939770136313,0.017484541471013502,0.01200949718597862,-0.003694199904760368,-0.005463274695099088,0.0032890277908465774,-0.02357192453355577,-0.0056395943472066475,0.005765624707553324,-0.0068684796318202995,-0.0009535994635187899,-0.005136455643334621,-0.001218043557179542,0.0001484624729999619,0.01148292534366378,0.011819457191221875,0.0235906508915481,-0.00799435294294649,-0.005872482598262799,0.010052249455447311,0.026293533696625283,-0.020129365880650976,-0.02789093798941136,-0.01709444032195898,-0.009005915998340934,0.020443639257376543,0.017497105240746623,-0.018299556677064368,0.009645119691236798,0.02067549384902515
